 Downloading crates ...
     |                                                      ^^^^^^ not found in this scope
     |
help: consider importing one of these items
     |
864  +     use crate::sync::fmt::Result;
     |
864  +     use core::fmt::Result;
     |
864  +     use core::result::Result;
     |
864  +     use alloc::fmt::Result;
     |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1157:20
     |
1157 |             if let Some(value) = self.get() {
     |                    ^^^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::option::Option::Some;
     |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1158:24
     |
1158 |                 return Ok(value);
     |                        ^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::result::Result::Ok;
     |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1165:13
     |
1165 |             Ok(unsafe { self.get_unchecked() })
     |             ^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::result::Result::Ok;
     |

error[E0412]: cannot find type `Option` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1197:35
     |
1197 |         pub fn take(&mut self) -> Option<T> {
     |                                   ^^^^^^ not found in this scope
     |
help: consider importing this enum
     |
864  +     use core::option::Option;
     |

error[E0412]: cannot find type `Option` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1217:36
     |
1217 |         pub fn into_inner(self) -> Option<T> {
     |                                    ^^^^^^ not found in this scope
     |
help: consider importing this enum
     |
864  +     use core::option::Option;
     |

error[E0412]: cannot find type `Option` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1257:20
     |
1257 |         init: Cell<Option<F>>,
     |                    ^^^^^^ not found in this scope
     |
help: consider importing this enum
     |
864  +     use core::option::Option;
     |

error[E0405]: cannot find trait `Sync` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1270:29
     |
1270 |     unsafe impl<T, F: Send> Sync for Lazy<T, F> where OnceCell<T>: Sync {}
     |                             ^^^^ not found in this scope
     |
help: consider importing this trait
     |
864  +     use core::marker::Sync;
     |

error[E0405]: cannot find trait `Send` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1270:23
     |
1270 |     unsafe impl<T, F: Send> Sync for Lazy<T, F> where OnceCell<T>: Sync {}
     |                       ^^^^ not found in this scope
     |
help: consider importing this trait
     |
864  +     use core::marker::Send;
     |

error[E0405]: cannot find trait `Sync` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1270:68
     |
1270 |     unsafe impl<T, F: Send> Sync for Lazy<T, F> where OnceCell<T>: Sync {}
     |                                                                    ^^^^ not found in this scope
     |
help: consider importing this trait
     |
864  +     use core::marker::Sync;
     |

error[E0425]: cannot find function, tuple struct or tuple variant `Some` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1279:59
     |
1279 |             Lazy { cell: OnceCell::new(), init: Cell::new(Some(f)) }
     |                                                           ^^^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::option::Option::Some;
     |

error[E0412]: cannot find type `Result` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1285:48
     |
1285 |         pub fn into_value(this: Lazy<T, F>) -> Result<T, F> {
     |                                                ^^^^^^ not found in this scope
     |
help: consider importing one of these items
     |
864  +     use crate::sync::fmt::Result;
     |
864  +     use core::fmt::Result;
     |
864  +     use core::result::Result;
     |
864  +     use alloc::fmt::Result;
     |

error[E0405]: cannot find trait `FnOnce` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1294:16
     |
1294 |     impl<T, F: FnOnce() -> T> Lazy<T, F> {
     |                ^^^^^^ not found in this scope
     |
help: consider importing this trait
     |
864  +     use core::ops::FnOnce;
     |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1310:17
     |
1310 |                 Some(f) => f(),
     |                 ^^^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::option::Option::Some;
     |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1330:21
     |
1330 |                     Some(f) => f(),
     |                     ^^^^ not found in this scope
     |
help: consider importing this tuple variant
     |
864  +     use core::option::Option::Some;
     |

error[E0412]: cannot find type `Option` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1351:42
     |
1351 |         pub fn get(this: &Lazy<T, F>) -> Option<&T> {
     |                                          ^^^^^^ not found in this scope
     |
help: consider importing this enum
     |
864  +     use core::option::Option;
     |

error[E0412]: cannot find type `Option` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1368:50
     |
1368 |         pub fn get_mut(this: &mut Lazy<T, F>) -> Option<&mut T> {
     |                                                  ^^^^^^ not found in this scope
     |
help: consider importing this enum
     |
864  +     use core::option::Option;
     |

error[E0405]: cannot find trait `FnOnce` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1373:16
     |
1373 |     impl<T, F: FnOnce() -> T> Deref for Lazy<T, F> {
     |                ^^^^^^ not found in this scope
     |
help: consider importing this trait
     |
864  +     use core::ops::FnOnce;
     |

error[E0405]: cannot find trait `FnOnce` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1380:16
     |
1380 |     impl<T, F: FnOnce() -> T> DerefMut for Lazy<T, F> {
     |                ^^^^^^ not found in this scope
     |
help: consider importing this trait
     |
864  +     use core::ops::FnOnce;
     |

error[E0405]: cannot find trait `Default` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1386:22
     |
1386 |     impl<T: Default> Default for Lazy<T> {
     |                      ^^^^^^^ not found in this scope
     |
help: consider importing this trait
     |
864  +     use core::default::Default;
     |

error[E0405]: cannot find trait `Default` in this scope
    --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/lib.rs:1386:13
     |
1386 |     impl<T: Default> Default for Lazy<T> {
     |             ^^^^^^^ not found in this scope
     |
help: consider importing this trait
     |
864  +     use core::default::Default;
     |

error[E0412]: cannot find type `Option` in this scope
  --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:56:26
   |
56 |     pub fn get(&self) -> Option<NonZeroUsize> {
   |                          ^^^^^^ not found in this scope
   |
help: consider importing this enum
   |
30 + use core::option::Option;
   |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:107:47
    |
107 |     pub fn set(&self, value: NonZeroUsize) -> Result<(), ()> {
    |                                               ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0531]: cannot find tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:109:13
    |
109 |             Ok(_) => Ok(()),
    |             ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Ok;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:109:22
    |
109 |             Ok(_) => Ok(()),
    |                      ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Ok;
    |

error[E0531]: cannot find tuple struct or tuple variant `Err` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:110:13
    |
110 |             Err(_) => Err(()),
    |             ^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Err;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Err` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:110:23
    |
110 |             Err(_) => Err(()),
    |                       ^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Err;
    |

error[E0405]: cannot find trait `FnOnce` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:122:12
    |
122 |         F: FnOnce() -> NonZeroUsize,
    |            ^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
30  + use core::ops::FnOnce;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:125:39
    |
125 |         match self.get_or_try_init(|| Ok::<NonZeroUsize, Void>(f())) {
    |                                       ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Ok;
    |

error[E0531]: cannot find tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:126:13
    |
126 |             Ok(val) => val,
    |             ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Ok;
    |

error[E0531]: cannot find tuple struct or tuple variant `Err` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:127:13
    |
127 |             Err(void) => match void {},
    |             ^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Err;
    |

error[E0405]: cannot find trait `FnOnce` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:140:12
    |
140 |         F: FnOnce() -> Result<NonZeroUsize, E>,
    |            ^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
30  + use core::ops::FnOnce;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:140:24
    |
140 |         F: FnOnce() -> Result<NonZeroUsize, E>,
    |                        ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:138:50
    |
138 |     pub fn get_or_try_init<F, E>(&self, f: F) -> Result<NonZeroUsize, E>
    |                                                  ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:143:13
    |
143 |             Some(it) => Ok(it),
    |             ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::option::Option::Some;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:143:25
    |
143 |             Some(it) => Ok(it),
    |                         ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Ok;
    |

error[E0405]: cannot find trait `FnOnce` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:150:31
    |
150 |     fn init<E>(&self, f: impl FnOnce() -> Result<NonZeroUsize, E>) -> Result<NonZeroUsize, E> {
    |                               ^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
30  + use core::ops::FnOnce;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:150:43
    |
150 |     fn init<E>(&self, f: impl FnOnce() -> Result<NonZeroUsize, E>) -> Result<NonZeroUsize, E> {
    |                                           ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:150:71
    |
150 |     fn init<E>(&self, f: impl FnOnce() -> Result<NonZeroUsize, E>) -> Result<NonZeroUsize, E> {
    |                                                                       ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0531]: cannot find tuple struct or tuple variant `Err` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:153:16
    |
153 |         if let Err(old) = self.compare_exchange(nz) {
    |                ^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Err;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:156:9
    |
156 |         Ok(unsafe { NonZeroUsize::new_unchecked(val) })
    |         ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Ok;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:160:54
    |
160 |     fn compare_exchange(&self, val: NonZeroUsize) -> Result<usize, usize> {
    |                                                      ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:180:26
    |
180 |     pub fn get(&self) -> Option<bool> {
    |                          ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
30  + use core::option::Option;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:189:39
    |
189 |     pub fn set(&self, value: bool) -> Result<(), ()> {
    |                                       ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0405]: cannot find trait `FnOnce` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:201:12
    |
201 |         F: FnOnce() -> bool,
    |            ^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
30  + use core::ops::FnOnce;
    |

error[E0405]: cannot find trait `FnOnce` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:215:12
    |
215 |         F: FnOnce() -> Result<bool, E>,
    |            ^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
30  + use core::ops::FnOnce;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:215:24
    |
215 |         F: FnOnce() -> Result<bool, E>,
    |                        ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:213:50
    |
213 |     pub fn get_or_try_init<F, E>(&self, f: F) -> Result<bool, E>
    |                                                  ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0405]: cannot find trait `Sync` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:238:26
    |
238 | unsafe impl<'a, T: Sync> Sync for OnceRef<'a, T> {}
    |                          ^^^^ not found in this scope
    |
help: consider importing this trait
    |
30  + use core::marker::Sync;
    |

error[E0405]: cannot find trait `Sync` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:238:20
    |
238 | unsafe impl<'a, T: Sync> Sync for OnceRef<'a, T> {}
    |                    ^^^^ not found in this scope
    |
help: consider importing this trait
    |
30  + use core::marker::Sync;
    |

error[E0405]: cannot find trait `Default` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:246:13
    |
246 | impl<'a, T> Default for OnceRef<'a, T> {
    |             ^^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
30  + use core::default::Default;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:259:26
    |
259 |     pub fn get(&self) -> Option<&'a T> {
    |                          ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
30  + use core::option::Option;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:268:40
    |
268 |     pub fn set(&self, value: &'a T) -> Result<(), ()> {
    |                                        ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0531]: cannot find tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:270:13
    |
270 |             Ok(_) => Ok(()),
    |             ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Ok;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:270:22
    |
270 |             Ok(_) => Ok(()),
    |                      ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Ok;
    |

error[E0531]: cannot find tuple struct or tuple variant `Err` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:271:13
    |
271 |             Err(_) => Err(()),
    |             ^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Err;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Err` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:271:23
    |
271 |             Err(_) => Err(()),
    |                       ^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Err;
    |

error[E0405]: cannot find trait `FnOnce` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:283:12
    |
283 |         F: FnOnce() -> &'a T,
    |            ^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
30  + use core::ops::FnOnce;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:286:39
    |
286 |         match self.get_or_try_init(|| Ok::<&'a T, Void>(f())) {
    |                                       ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Ok;
    |

error[E0531]: cannot find tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:287:13
    |
287 |             Ok(val) => val,
    |             ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Ok;
    |

error[E0531]: cannot find tuple struct or tuple variant `Err` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:288:13
    |
288 |             Err(void) => match void {},
    |             ^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Err;
    |

error[E0405]: cannot find trait `FnOnce` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:301:12
    |
301 |         F: FnOnce() -> Result<&'a T, E>,
    |            ^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
30  + use core::ops::FnOnce;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:301:24
    |
301 |         F: FnOnce() -> Result<&'a T, E>,
    |                        ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:299:50
    |
299 |     pub fn get_or_try_init<F, E>(&self, f: F) -> Result<&'a T, E>
    |                                                  ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0531]: cannot find tuple struct or tuple variant `Some` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:304:13
    |
304 |             Some(val) => Ok(val),
    |             ^^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::option::Option::Some;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:304:26
    |
304 |             Some(val) => Ok(val),
    |                          ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Ok;
    |

error[E0405]: cannot find trait `FnOnce` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:311:31
    |
311 |     fn init<E>(&self, f: impl FnOnce() -> Result<&'a T, E>) -> Result<&'a T, E> {
    |                               ^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
30  + use core::ops::FnOnce;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:311:43
    |
311 |     fn init<E>(&self, f: impl FnOnce() -> Result<&'a T, E>) -> Result<&'a T, E> {
    |                                           ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:311:64
    |
311 |     fn init<E>(&self, f: impl FnOnce() -> Result<&'a T, E>) -> Result<&'a T, E> {
    |                                                                ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0531]: cannot find tuple struct or tuple variant `Err` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:313:16
    |
313 |         if let Err(old) = self.compare_exchange(value) {
    |                ^^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Err;
    |

error[E0425]: cannot find function, tuple struct or tuple variant `Ok` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:316:9
    |
316 |         Ok(value)
    |         ^^ not found in this scope
    |
help: consider importing this tuple variant
    |
30  + use core::result::Result::Ok;
    |

error[E0412]: cannot find type `Result` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:320:49
    |
320 |     fn compare_exchange(&self, value: &'a T) -> Result<(), *const T> {
    |                                                 ^^^^^^ not found in this scope
    |
help: consider importing one of these items
    |
30  + use core::fmt::Result;
    |
30  + use core::result::Result;
    |
30  + use alloc::fmt::Result;
    |

error[E0412]: cannot find type `Option` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:363:28
    |
363 |         ghost: PhantomData<Option<Box<T>>>,
    |                            ^^^^^^ not found in this scope
    |
help: consider importing this enum
    |
355 +     use core::option::Option;
    |

error[E0405]: cannot find trait `Default` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:372:13
    |
372 |     impl<T> Default for OnceBox<T> {
    |             ^^^^^^^ not found in this scope
    |
help: consider importing this trait
    |
355 +     use core::default::Default;
    |

error[E0405]: cannot find trait `Drop` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:378:13
    |
378 |     impl<T> Drop for OnceBox<T> {
    |             ^^^^ not found in this scope
    |
help: consider importing this trait
    |
355 +     use core::ops::Drop;
    |

error[E0425]: cannot find function `drop` in this scope
   --> /Users/iraabbott/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/once_cell-1.21.3/src/race.rs:382:17
    |
382 |                 drop(unsafe { Box::from_raw(ptr) })
    |                 ^^^^ not found in this scope
    |
help: consider using the method on `Self`
    |
